Regular step WithSlopeup,Regular step WithStrideSlopeup,Regular step WithSpeedSlopeup,Regular step WithSlopedown,Regular step WithStrideSlopedown,Regular step WithSpeedSlopdown,Regular step WithGravel,Regular step WithStrideGravel,Regular step WithSpeedGravel,Regular step WithSidewalk,Regular step WithStrideSidwalk,Regular step WithSpeedSidewalk,Regular step Walking speedslopdown,Regular step Walking speed slopeup,Regular step Walking speed gravel,Regular step Walking speed sidewalk,Acceleration WithSlopeup.1,Acceleration WithAverageZSlopeup,Acceleration WithSlopedown.1,Acceleration WithAverageZSlopedown,Acceleration WithGravel.1,Acceleration WithAverageZGravel,Acceleration WithSidewalk.1,Acceleration WithAverageZSidewalk,Regular step WithoutSlopeup,Regular step WithoutStrideSlopeup,Regular step WithoutSpeedSlopeup,Regular step WithoutSlopedown,Regular step WithoutStrideSlopedown,Regular step WithoutSpeedSlopedown,Regular step WithoutGravel,Regular step WithoutStrideGravel,Regular step WithoutSpeedGravel,Regular step WithoutSidewalk,Regular step WithoutStrideSidewalk,Regular step WithoutSpeedSidewalk,Regular step Withoutwspeed slopup,Regular step withoutspeedslopedown,Regular step withoutwalkspeedgravel,Regular step Withoutwalkspeedsidewalk,Acceleration WithoutSlopeup.1,Acceleration WithoutAverageZSlopeup,Acceleration WithoutSlopedown.1,Acceleration WithoutAverageZSlopedown,Acceleration WithoutGravel.1,Acceleration WithoutAverageZGravel,Acceleration WithoutSidewalk.1,Acceleration WithoutAverageZSidewalk
15:03.4,61.0,137.0,31:51.5,50.0,118.0,04:47.7,49.0,116.0,10:42.4,46.0,114.0,0.847457627,0.890510949,0.844827586,0.807017544,15:03.4,0.203785,31:51.5,0.202874,04:47.7,0.206363,10:42.4,0.244541,14:40:06,47.0,106.0,14:54:12,52.0,108.0,14:30:12,47.0,118.0,14:45:59,45.0,106.0,0.886792453,0.962962963,0.796610169,0.849056604,14:40:07,0.2058,05:04:52,0.2058,14:30:13,0.171123,46:00.0,0.220588
15:04.6,59.0,122.0,31:52.8,47.0,127.0,04:48.9,52.0,118.0,10:43.5,48.0,110.0,0.74015748,0.967213115,0.881355932,0.872727273,15:04.6,0.19656,31:52.8,0.203284,04:48.9,0.21978,10:43.5,0.252936,14:40:07,43.0,106.0,14:54:13,50.0,106.0,14:30:13,57.0,93.0,14:46:00,43.0,108.0,0.811320755,0.943396226,1.225806452,0.796296296,14:40:08,0.202206,05:05:07,0.213333,14:30:14,0.209524,46:01.1,0.202392
15:05.9,63.0,122.0,31:54.0,42.0,122.0,04:50.1,51.0,118.0,10:44.7,48.0,116.0,0.68852459,1.032786885,0.86440678,0.827586207,15:05.9,0.21294,31:54.0,0.22932,04:50.1,0.202874,10:44.7,0.240757,14:40:08,41.0,108.0,14:54:14,54.0,108.0,14:30:14,56.0,105.0,14:46:01,46.0,108.0,0.759259259,1,1.066666667,0.851851852,14:40:09,0.202392,05:05:03,0.2058,14:30:15,0.194175,46:02.1,0.220588
15:07.0,60.0,118.0,31:55.1,39.0,110.0,04:51.3,49.0,120.0,10:45.9,46.0,116.0,0.709090909,1.016949153,0.816666667,0.793103448,15:07.0,0.21978,31:55.1,0.235081,04:51.3,0.232751,10:45.9,0.24055,14:40:09,42.0,108.0,14:54:15,50.0,106.0,14:30:15,50.0,102.0,14:46:02,48.0,108.0,0.777777778,0.943396226,0.980392157,0.888888889,14:40:10,0.2058,05:05:19,0.190658,14:30:16,0.202206,46:03.2,0.220588
15:08.2,52.0,116.0,31:56.2,32.0,108.0,04:52.4,53.0,116.0,10:47.0,48.0,116.0,0.592592593,0.896551724,0.913793103,0.827586207,15:08.2,0.24055,31:56.2,0.238971,04:52.4,0.206363,10:47.0,0.24055,14:40:10,44.0,106.0,14:54:16,56.0,112.0,14:30:16,47.0,108.0,14:46:03,43.0,108.0,0.830188679,1,0.87037037,0.796296296,14:40:11,0.2058,05:06:19,0.220588,14:30:17,0.209524,46:04.3,0.202392
15:09.4,59.0,120.0,31:57.3,31.0,116.0,04:53.6,50.0,112.0,10:48.2,48.0,114.0,0.534482759,0.983333333,0.892857143,0.842105263,15:09.4,0.232945,31:57.3,0.223368,04:53.6,0.195382,10:48.2,0.244541,14:40:11,43.0,106.0,14:54:17,51.0,106.0,14:30:17,41.0,105.0,14:46:04,45.0,108.0,0.811320755,0.962264151,0.780952381,0.833333333,14:40:12,0.209724,05:05:56,0.190658,14:30:18,0.187266,46:05.4,0.216802
15:10.6,61.0,122.0,31:58.5,35.0,114.0,04:54.8,60.0,122.0,10:49.3,47.0,114.0,0.614035088,1,0.983606557,0.824561404,15:10.6,0.22932,31:58.5,0.244755,04:54.8,0.21294,10:49.3,0.244541,14:40:12,40.0,104.0,14:54:18,54.0,104.0,14:30:18,46.0,106.0,14:46:05,45.0,110.0,0.769230769,1.038461538,0.867924528,0.818181818,14:40:13,0.228571,05:07:01,0.183824,14:30:19,0.2058,46:06.5,0.2058
15:11.8,62.0,122.0,31:59.6,33.0,112.0,04:55.9,52.0,112.0,10:50.5,49.0,116.0,0.589285714,1.016393443,0.928571429,0.844827586,15:11.8,0.229133,31:59.6,0.230906,04:55.9,0.213144,10:50.5,0.24055,14:40:13,43.0,104.0,14:54:19,49.0,108.0,14:30:19,52.0,106.0,14:46:07,43.0,106.0,0.826923077,0.907407407,0.981132075,0.811320755,14:40:15,0.2058,05:08:32,0.202206,14:30:20,0.209724,46:07.6,0.220791
15:13.0,61.0,116.0,32:00.8,33.0,116.0,04:57.1,51.0,114.0,10:51.6,50.0,114.0,0.568965517,1.051724138,0.894736842,0.877192982,15:13.0,0.22356,32:00.8,0.223368,04:57.1,0.227074,10:51.6,0.244541,14:40:15,41.0,106.0,14:54:20,49.0,104.0,14:30:20,56.0,104.0,14:46:08,43.0,108.0,0.773584906,0.942307692,1.076923077,0.796296296,14:40:16,0.205993,05:09:10,0.205993,14:30:21,0.202206,46:08.7,0.202206
15:14.2,59.0,114.0,32:01.9,35.0,114.0,04:58.2,52.0,116.0,10:52.7,50.0,110.0,0.614035088,1.035087719,0.896551724,0.909090909,15:14.2,0.209607,32:01.9,0.227074,04:58.2,0.206186,10:52.7,0.253165,14:40:16,41.0,106.0,14:54:21,50.0,108.0,14:30:21,50.0,108.0,14:46:09,42.0,108.0,0.773584906,0.925925926,0.925925926,0.777777778,14:40:17,0.202206,05:09:29,0.190476,14:30:22,0.202206,46:09.8,0.213144
