stride_count_with_rollator_slope_up,speed_with_rollator_slope_up,stride_count_with_rollator_slope_down,speed_with_rollator_slope_down,stride_count_with_rollator_gravel,speed_with_rollator_gravel,stride_count_with_rollator_sidewalk,speed_with_rollator_sidewalk,avg_z_accel_with_rollator_slope_up,avg_z_accel_with_rollator_slope_down,avg_z_accel_with_rollator_gravel,avg_z_accel_with_rollator_sidewalk,stride_count_without_rollator_slope_up,speed_without_rollator_slope_up,stride_count_without_rollator_slope_down,speed_without_rollator_slope_down,stride_count_without_rollator_gravel,speed_without_rollator_gravel,stride_count_without_rollator_sidewalk,speed_without_rollator_sidewalk,avg_z_accel_without_rollator_slope_up,avg_z_accel_without_rollator_slope_down,avg_z_accel_without_rollator_gravel,avg_z_accel_without_rollator_sidewalk
61.0,132.65714285714282,50.0,118.0,49.0,116.0,46.0,114.0,0.20552286666666664,0.20326349999999993,0.206363,0.244541,45.0,106.0,52.0,108.0,47.0,111.56153846153848,45.0,106.0,0.2058,0.2058,0.17230032592592584,0.220588
59.0,122.0,47.0,122.6125,52.0,118.0,48.0,110.0,0.20552286666666664,0.203284,0.21978,0.252936,43.0,106.0,50.0,106.0,56.0,102.21923076923078,43.0,108.0,0.202206,0.213333,0.209524,0.202392
63.0,122.0,42.0,122.0,51.0,118.0,48.0,116.0,0.21294,0.22932,0.202874,0.240757,41.0,108.0,54.0,108.0,56.0,105.0,46.0,108.0,0.202392,0.2058,0.194175,0.220588
60.0,118.0,39.0,110.0,49.0,120.0,46.0,116.0,0.21978,0.235081,0.232751,0.24055,42.0,108.0,50.0,106.0,50.0,102.21923076923078,48.0,108.0,0.2058,0.190658,0.202206,0.220588
55.44761904761905,116.0,32.0,109.755,53.0,116.0,48.0,116.0,0.24055,0.238971,0.206363,0.24055,44.0,106.0,56.0,112.0,47.0,108.0,43.0,108.0,0.2058,0.220588,0.209524,0.202392
59.0,120.0,31.0,116.0,50.0,112.0,48.0,114.0,0.232945,0.223368,0.19945275,0.244541,43.0,106.0,51.0,106.0,41.0,105.0,45.0,108.0,0.209724,0.190658,0.187266,0.216802
61.0,122.0,35.0,114.0,54.05,122.0,47.0,114.0,0.22932,0.24095689999999997,0.21294,0.244541,40.0,104.0,54.0,104.0,46.0,106.0,45.0,110.0,0.228571,0.19054804166666664,0.2058,0.2058
62.0,122.0,33.0,112.0,52.0,112.0,49.0,116.0,0.229133,0.230906,0.213144,0.24055,43.0,104.0,49.0,108.0,52.0,106.0,43.0,106.0,0.2058,0.202206,0.209724,0.22059815
61.0,116.0,33.0,116.0,51.0,114.0,50.0,114.0,0.22356,0.223368,0.227074,0.244541,41.0,106.0,49.0,104.0,56.0,104.0,43.0,108.0,0.205993,0.205993,0.202206,0.202206
59.0,114.0,35.0,114.0,52.0,116.0,50.0,110.0,0.209607,0.227074,0.206186,0.253165,41.0,106.0,50.0,108.0,50.0,108.0,42.0,108.0,0.202206,0.19054804166666664,0.202206,0.213144
56.0,118.0,34.0,110.0,50.0,116.0,48.0,110.0,0.236686,0.235081,0.223368,0.252936,38.95,108.0,57.0,108.0,53.0,108.0,43.0,112.0,0.2058,0.202392,0.205993,0.202392
62.0,120.0,34.0,110.0,50.0,120.0,47.0,108.0,0.232945,0.234869,0.216306,0.238971,41.0,106.0,57.0,106.0,53.0,106.0,45.0,108.0,0.205993,0.213144,0.198735,0.216802
63.0,116.0,32.0,114.0,50.0,120.0,49.0,110.0,0.223368,0.227074,0.199667,0.253165,39.0,106.0,55.0,104.0,51.0,110.0,43.0,110.0,0.228571,0.209607,0.187266,0.2058
61.0,114.0,35.0,110.0,53.0,120.0,48.0,114.0,0.227074,0.235081,0.199667,0.244541,42.0,106.0,47.0,108.0,53.0,106.0,47.0,106.0,0.216802,0.216802,0.209524,0.216998
57.0,116.0,31.0,110.0,53.0,120.0,48.0,110.0,0.223368,0.234869,0.199667,0.252936,43.0,108.1,57.0,112.0,50.0,105.0,48.0,110.0,0.19030675,0.195556,0.2058,0.216802
56.0,122.0,41.0,114.0,50.0,120.0,47.0,110.0,0.22932,0.227074,0.216306,0.234869,41.0,106.0,51.0,112.0,47.0,106.0,46.0,110.0,0.216998,0.220588,0.187266,0.202206
56.0,118.0,50.0,116.0,49.0,120.0,43.0,110.0,0.236686,0.24055,0.216306,0.253165,43.0,108.1,45.0,110.0,46.0,106.0,48.0,108.0,0.19030675,0.234940625,0.183824,0.216802
56.0,122.0,50.245,116.0,51.0,118.0,46.0,112.0,0.2457,0.240757,0.21978,0.248668,39.0,106.0,49.0,112.0,52.0,108.0,44.0,110.0,0.190476,0.216998,0.187266,0.216998
62.0,118.0,44.0,112.0,52.0,118.0,48.0,112.0,0.236686,0.230906,0.202874,0.248668,44.0,105.0,40.0,108.0,51.0,106.0,45.0,110.0,0.209724,0.209524,0.183824,0.213144
55.44761904761905,116.0,31.0,109.755,54.05,122.0,45.0,112.0,0.206186,0.229750632,0.209508,0.248889,43.0,104.0,41.0,108.0,47.0,108.0,46.0,112.0,0.228571,0.220791,0.187091,0.216802
60.0,120.0,31.0,109.755,49.0,120.0,47.0,112.0,0.232945,0.20326349999999993,0.199667,0.253165,44.0,104.0,41.0,110.0,49.0,106.0,45.0,110.0,0.213592,0.202206,0.183993,0.205993
69.0,120.0,31.0,109.8,52.0,118.0,46.0,110.0,0.216306,0.20326349999999993,0.21978,0.234869,44.0,102.95,40.0,105.0,53.0,108.0,41.0,106.0,0.209524,0.2058,0.17230032592592584,0.213144
65.0,116.0,31.35,110.0,51.0,118.0,47.0,112.0,0.24055,0.2032734871794871,0.202874,0.248668,41.0,105.0,41.0,108.0,48.0,105.0,42.0,112.0,0.228571,0.205993,0.22005515555555552,0.198906
62.0,118.0,31.8,110.0,50.0,118.0,46.0,112.0,0.236686,0.2125535384615384,0.21978,0.231111,45.0,104.0,43.0,108.0,55.0,108.0,46.0,110.0,0.190658,0.2058,0.205993,0.202206
61.0,118.0,32.0,110.0,51.0,122.0,45.0,112.0,0.24629519047619045,0.2223380512820512,0.22932,0.248668,43.0,104.0,43.0,106.0,50.0,106.0,43.0,108.0,0.209524,0.228789,0.193986,0.216998
64.0,122.0,32.0,110.0,51.0,118.0,45.0,114.0,0.22932,0.223368,0.21978,0.244541,43.0,104.0,43.0,106.0,51.0,103.0,47.0,110.0,0.213592,0.224509,0.205993,0.198906
66.0,118.0,32.15,110.0,53.0,116.0,42.0,110.0,0.236686,0.223368,0.223368,0.234869,45.0,102.95,41.0,106.0,47.0,106.0,46.0,112.0,0.213385,0.209724,0.202206,0.220588
67.0,132.65714285714282,32.6,110.0,50.0,114.0,50.504347826086956,108.0,0.232897,0.2248884102564102,0.209607,0.202206,42.0,103.0,40.0,104.0,46.0,108.0,45.0,108.0,0.209724,0.224509,0.216802,0.202392
68.0,118.0,33.0,110.0,51.0,118.0,50.504347826086956,118.0,0.236686,0.2266938974358974,0.21978,0.185968,40.0,104.0,42.0,106.0,45.0,110.0,44.0,108.0,0.224509,0.234940625,0.205993,0.220588
70.0,118.0,33.0,110.0,51.0,120.0,50.0,118.0,0.236686,0.227074,0.216306,0.236686,43.0,106.0,44.0,104.0,47.0,106.0,45.0,108.0,0.209524,0.220588,0.198735,0.213144
70.27619047619048,114.0,33.0,110.0,52.0,116.0,41.0,122.0,0.24629519047619045,0.227074,0.206186,0.21294,42.0,104.0,43.0,106.0,48.0,110.0,47.0,112.0,0.205993,0.224719,0.17762,0.202206
67.0,116.0,33.4,110.8,50.0,118.0,29.48695652173913,127.54782608695652,0.223368,0.227074,0.23294775,0.209738,41.0,106.0,42.0,108.0,33.19230769230769,111.56153846153848,41.0,108.0,0.209524,0.220588,0.22005515555555552,0.202392
69.0,120.0,33.85,111.7,53.0,120.0,36.0,108.0,0.232945,0.227074,0.216306,0.238971,42.0,104.0,43.0,108.0,33.19230769230769,106.0,42.0,108.0,0.220588,0.216802,0.17230032592592584,0.216802
70.0,116.0,34.0,112.0,48.0,116.0,45.0,118.0,0.223368,0.2278226666666666,0.223368,0.202874,41.0,108.0,42.0,106.0,33.30769230769231,102.21923076923078,42.0,110.0,0.209724,0.202392,0.1723461851851851,0.202206
68.0,120.0,34.0,112.0,51.0,116.0,31.0,108.0,0.232945,0.2289168717948718,0.223368,0.18188177391304347,41.0,104.0,43.0,108.0,45.69230769230769,102.23076923076924,42.0,108.0,0.2058,0.224509,0.1794582222222222,0.198915
67.0,131.0,34.2,112.4,51.0,116.0,29.48695652173913,127.54782608695652,0.22779,0.2294525021538461,0.223368,0.18188177391304347,40.0,106.0,43.0,110.0,47.0,103.46153846153848,44.0,110.0,0.2058,0.19054804166666664,0.183824,0.202206
70.0,116.0,34.65,113.3,52.0,116.0,29.565217391304348,108.0,0.24055,0.2296622972307692,0.223368,0.2022350434782608,40.0,106.0,40.0,108.0,47.0,104.6923076923077,43.0,108.0,0.213592,0.1905518333333333,0.1839241481481481,0.220588
70.27619047619048,127.0,35.0,114.0,49.0,116.0,36.21739130434783,108.08695652173913,0.234742,0.230076505025641,0.223368,0.18188177391304347,43.0,103.0,40.0,104.0,33.19230769230769,105.0,41.0,108.0,0.224509,0.190658,0.1862878148148148,0.205993
55.44761904761905,114.0,35.0,114.0,52.0,114.0,43.17391304347826,110.0,0.236686,0.2306393766153846,0.20979,0.206753652173913,41.0,106.0,40.0,104.0,47.0,105.0,46.0,106.0,0.2058,0.1972185,0.1872465555555555,0.2058
55.523809523809526,132.4285714285714,35.0,114.0,52.0,116.0,45.0,110.0,0.2462130952380952,0.230906,0.223368,0.2145200869565217,40.0,106.0,40.27272727272727,104.0,46.15384615384615,105.3846153846154,43.0,106.0,0.205993,0.202206,0.187266,0.22059815
56.0,124.38095238095238,35.0,114.0,53.0,116.0,45.0,110.0,0.239446,0.230906,0.206186,0.234869,40.0,106.0,41.0,104.9090909090909,42.84615384615385,106.0,42.0,108.0,0.2058,0.202392,0.187266,0.220588
56.285714285714285,132.65714285714282,35.0,114.0,52.0,116.0,29.48695652173913,108.0,0.24055,0.2318205384615384,0.206186,0.1820931304347826,40.0,106.0,41.0,106.0,46.0,106.0,42.0,108.0,0.2058,0.204096,0.1895059999999999,0.202206
59.0,122.0,36.4,114.0,54.0,116.0,41.56521739130434,110.0,0.24629519047619045,0.2337512307692307,0.223368,0.2333984782608695,38.95,106.0,42.0,106.0,47.0,106.0,43.0,108.0,0.205993,0.2058,0.194077,0.198915
59.0,114.0,38.2,114.0,53.0,118.0,50.504347826086956,127.54782608695652,0.20552286666666664,0.234869,0.23294775,0.253165,41.0,106.0,42.0,106.0,47.30769230769231,106.0,41.0,106.0,0.220588,0.2058,0.1970461111111111,0.198906
60.0,116.0,39.5,114.5,50.0,116.0,45.65217391304348,110.0,0.2056143333333333,0.234869,0.223368,0.236054,38.95,102.95,43.0,106.0,48.0,106.0,41.625,106.0,0.209867341,0.20594475,0.198735,0.198915
61.0,116.0,40.400000000000006,115.4,50.0,116.0,46.0,112.0,0.2113528571428571,0.2349070512820512,0.19945275,0.2400694347826087,39.0,103.0,43.0,106.0,48.76923076923077,106.0,42.0,106.5,0.19030675,0.2065815,0.2019488888888888,0.202206
61.0,118.0,41.15,116.0,54.0,116.0,46.21739130434783,112.0,0.2273126666666666,0.2350103333333333,0.206186,0.24055,40.0,104.0,43.0,106.0,50.0,106.0,42.0,108.0,0.1923077142857142,0.2095724166666666,0.202206,0.202206
61.0,116.0,41.6,116.0,49.0,114.0,47.0,112.0,0.2234777142857143,0.235081,0.209607,0.240703,40.0,104.0,43.0,108.0,50.0,106.0,43.0,108.0,0.2033657142857143,0.209724,0.202206,0.202299
62.0,116.0,42.1,116.0,52.0,116.0,46.0,110.34782608695652,0.223368,0.235081,0.223368,0.238971,41.0,104.0,44.0,108.0,50.0,106.0,43.0,108.0,0.2058,0.21322275,0.2035371111111111,0.202392
